"Defend Atlantis","Survival Story","Flobots","302000","5","95","","293"
"DerniÃ¨re danse","Mini World","Indila","213000","5","56","","245"
"Diddy Bop","Fifty Shades Freed (Original Motion Picture Soundtrack)","Jacob Banks","219000","5","73","","144"
"Disappoint","Failure","Assemblage 23","333998","5","66","","298"
"Do I Wanna Know?","Do I Wanna Know?","Arctic Monkeys","273000","5","140","","305"
"Do What You Feel","Photograph","Dirty Vegas","241000","5","85","","232"
"Don&#39;t Be so Hard on Yourself","I Cry When I Laugh","Jess Glynne","211000","5","84","","227"
"Don&#39;t Let Go","Don&#39;t Let Go","Don Diablo &amp; Holly Winter","192000","5","65","","158"
"Don&#39;t Rush","Hoax","Kevin Garrett","219000","5","37","","52"
"Drive You Home","Overnight","Parachute","229000","5","29","","312"
"Drum","Drum","MÃ˜","187000","5","92","","211"
"Duper","Fingerprint","Crooks on Tape","162000","5","42","","326"
"Dynamite (feat. Pretty Sister)","Dynamite (feat. Pretty Sister)","Nause","195000","5","103","","204"
"Edge Of Destruction (feat. Tech N9ne &amp; Twista)","Lace Up (Deluxe)","MGK","307000","5","45","","274"
"Elevate (Single Edit)","Elevate","The Winery Dogs","265000","5","35","","324"
"everything i wanted","everything i wanted","Billie Eilish","245000","5","30","","30"
"Eye of The Storm (feat. Gavin Beach)","Drive","Gareth Emery","245000","5","77","","228"
"Faded","The Nightday EP","ZHU","223000","5","51","","51"
"Farewell (feat. Chris Batson)","DC to Light","Morgan Page","198000","5","146","","233"
"Feels Like Summer","Parallel Play","Panama Wedding","249000","5","91","","255"
"Feels Like Summer","Summer Pack","Childish Gambino","297000","5","70","","96"
"Feet Don&#39;t Fail Me Now","All I Need (Deluxe Version)","Foxes","203000","5","37","","48"
"Finally Feel Good","Finally Feel Good","James Arthur","215000","5","80","","55"
"Fingertips","Fingertips","Leo Kalyan","255000","5","24","","15"
"Fire, Fire","Filthy Empire","Heaven&#39;s Basement","257000","5","29","","328"
"Fix This","The Colourist","The Colourist","225000","5","61","","272"
"Fools Gold","More Than Just a Dream","Fitz and The Tantrums","214000","5","68","","263"
"FOOLS","Blue Neighbourhood (Deluxe)","Troye Sivan","220000","5","79","","223"
"Freak (Like Me)","Reveal","Underwhelmed","225000","5","34","","45"
"FTPA (feat. Erik Hassle)","Sirens (Deluxe)","Gorgon City","284000","5","26","","36"
"Genuine","Genuine","Shagabond","215000","5","53","","87"
"Get Lucky","Get Lucky","Halestorm","188000","5","31","","332"
"Ghost","Bright Nights * Dark Days","Cavo","184000","5","113","","343"
"Ghost","Not a Trampoline","Rob Cantor","248000","5","86","","247"
"Give Me Love (feat. Calum Scott)","FUTURE (Deluxe Edition)","Don Diablo","208000","5","61","","79"
"Go the Distance (From &quot;Hercules&quot;/Soundtrack)","Disney&#39;s Greatest Volume 2","Roger Bart","194000","5","94","","217"
"Goin&#39; Down","Light Me Up","The Pretty Reckless","215000","5","67","","261"
"Gone (feat. Disco Fries)","Evolution","Gazzo","243000","5","66","","196"
"Good Enough","Home School Valedictorian","Adelitas Way","231000","5","30","","331"
"Greek Tragedy","Glitterbug (Deluxe Edition)","The Wombats","209000","5","87","","220"
"Half A Man","A Place We Knew","Dean Lewis","179000","5","20","","44"
"Heart on Fire","No Romeo (Deluxe)","Indiana","240000","5","42","","49"
"Heart Out","The 1975","The 1975","202000","5","47","","348"
"Heavydirtysoul","Blurryface","Twenty One Pilots","234000","5","107","","241"
"Hell Above","Collide with the Sky","Pierce The Veil","223000","5","71","","237"
"Hello","The Definitive Collection","Lionel Richie","248000","5","82","","291"
"Her Eyes","Last Of Seven","Pat Monahan","195000","5","46","","5"
"High Like This","LOVELAND","Kevin George","221000","5","76","","102"
"Hold My Hand","I Cry When I Laugh","Jess Glynne","227000","5","61","","226"
"Holiday (feat. Nadia Ali)","Exit 110 (Feat. Nadia Ali)","iiO","217000","5","54","","86"
"Holocene","Bon Iver","Bon Iver","336000","5","31","","344"
"Holy Diver","Ronnie James Dio - This Is Your Life","Killswitch Engage","249000","5","14","","13"
"home (feat. WALK THE MOON)","home","morgxn","205000","5","59","","57"
"Howl","Follow My Feet - EP","The Unlikely Candidates","211000","5","31","","316"
"Human","Human (Deluxe)","Rag&#39;n&#39;Bone Man","200000","5","111","","197"
"Hundred","Free Spirit","Khalid","277000","5","226","","64"
"Hung Up (Radio Edit) (feat. Emma Gatsby)","Hung Up","Tritonal","220000","5","116","","187"
"Hurt","Home School Valedictorian","Adelitas Way","236000","5","29","","330"
"Hurts","Long Live The Angels (Deluxe)","Emeli SandÃ©","238000","5","65","","181"
"Hush Hush","tryhard","The Band CAMINO","177000","5","72","","59"
"I Could Be The One [Avicii vs Nicky Romero] (Noonie Bao Acoustic Mix)","I Could Be The One [Avicii &amp; Nicky Romero] (Remixes)","Avicii","231000","5","110","","256"
"I Feel Like I&#39;m Drowning","A 20 Something Fuck","Two Feet","185000","5","53","","68"
"I Know What You Did Last Summer","Handwritten (Revisited)","Shawn Mendes","223000","5","84","","202"
"I Need Help","Knock Madness","Hopsin","257000","5","41","","278"
"I Want a Miracle (feat. Sam Martin &amp; Chris Willis) [The Magician Remix]","I Want a Miracle (feat. Sam Martin &amp; Chris Willis) [The Magician Remix]","Fred Rister","228000","5","71","","91"
"I Want Magic (Dimitri From Paris Radio Edit)","I Want Magic","Izo FitzRoy","216000","5","31","","42"
"I Will Not Be Moved","Relentless","Natalie Grant","230000","5","65","","250"
"Icarus","Bad Blood","Bastille","225000","5","124","","299"
"If It Feels Good (Then It Must Be)","Good Thing","Leon Bridges","194000","5","124","","71"
"If We Have Each Other","If We Have Each Other","Alec Benjamin","181000","5","68","","117"
"If You Could See Me Now","#3","The Script","219000","5","41","","335"
"If You See Her","Malibu Nights","LANY","182000","5","72","","72"
"Ignite (feat. Seungri)","Ignite","K-391","210000","5","59","","122"
"Immortals","American Beauty/American Psycho","Fall Out Boy","189000","5","85","","170"
"Impossible","James Arthur (Deluxe)","James Arthur","209000","5","62","","9"
"In My Dreams (feat. Nikki Wilkins)","Rocket League (Official Game Soundtrack)","Mike Ault","384000","5","132","","222"
"Instant Crush (feat. Julian Casablancas)","Random Access Memories","Daft Punk","337000","5","63","","240"
"Into The Nothing","Dear Agony","Breaking Benjamin","223000","5","134","","292"
"Into The Ocean","Foiled","Blue October","239000","5","72","","279"
"Intoxicated","Intoxicated","Pomo","270000","5","55","","93"
"Introdiction","Distraction Pieces","Scroobius Pip","209000","5","37","","311"
"Invisible - (RED) Edit","Invisible (RED Edit Version)","U2","226000","5","38","","329"
"Iron &amp; Steel","Iron &amp; Steel","Quinn XCII","203000","5","60","","152"
"Is Everybody Going Crazy?","Is Everybody Going Crazy?","Nothing But Thieves","237000","5","47","","12"
"Isolation","AB III","Alter Bridge","253000","5","33","","336"
"It Ain&#39;t Me","It Ain&#39;t Me","Kygo &amp; Selena Gomez","220000","5","52","","19"
"I&#39;ll Forget You","Leavetaking","Peter Bradley Adams","221000","5","26","","358"
"Jenny","Walk The Moon","WALK THE MOON","245000","5","65","","273"
"Just Another Girl","Direct Hits","The Killers","262000","5","44","","350"
"Just Call (feat. Bella Thorne)","Just Call (feat. Bella Thorne)","Prince Fox","168000","5","88","","191"
"Keep Breathing","Be OK","Ingrid Michaelson","205000","5","32","","363"
"Keep Me Crazy","Keep Me Crazy","Sheppard","196000","5","60","","142"
"Kevinâ€™s Heart","KOD","J. Cole","200000","5","59","","132"
"King","King","GRADES","187000","5","86","","235"
"Kiss Me Again (feat. Alex Gaskarth)","Kiss Me Again (feat. Alex Gaskarth)","We Are The In Crowd","200000","5","102","","253"
"Lack of Emotion","Lack of Emotion","Skott","187000","5","126","","206"
"Ladykiller","Overexposed (Deluxe)","Maroon 5","164000","5","37","","337"
"Lessons In Love (All Day, All Night) (feat. Kaskade)","Picture Show","Neon Trees","223000","5","29","","317"
"lessons","lessons","mxmtoon","212000","5","33","","29"
"Let Me Down Slowly","Narrated For You","Alec Benjamin","169000","5","60","","97"
"Let Them In","White Noise","PVRIS","212000","5","71","","224"
"Let&#39;s Fall in Love for the Night","Letâ€™s Fall In Love For The Night","FINNEAS","190000","5","23","","32"
"Level of Concern","Level of Concern","twenty one pilots","220000","5","39","","31"
"Lies In The Dark","Fifty Shades Darker (Original Motion Picture Soundtrack)","Tove Lo","221000","5","32","","47"
"Light Years (feat. Richard Walters)","In The Air","Morgan Page","262000","5","84","","231"
"Likes","Rouge","Yuna","215000","5","13","","35"
"Losin Control","Losin Control","Russ","237000","5","107","","198"
"Losing Sleep","Tribute","John Newman","282000","5","48","","346"
"Lost (Chill Out Mix)","Sunny Tales","Sunlounger","329000","5","53","","88"
"Lost","channel ORANGE","Frank Ocean","234000","5","161","","168"
"Loud Places","In Colour","Jamie xx","283000","5","72","","192"
"Love Is the Answer","Dr. Heckle &amp; Mr. Jive","England Dan &amp; John Ford Coley","284000","5","9","","1"
"Love Less","Afterimage","R.LUM.R","205000","5","23","","21"
"Love Like We Used To (feat. Nateur)","Love Like We Used To","Captain Cuts","227000","5","143","","208"
"Love You Better (feat. Glades)","Into the Light","Feki","235000","5","64","","119"
"Mad World (feat. Michael Andrews)","Trading Snakeoil for Wolftickets","Gary Jules","189000","5","67","","216"
"Magic","Magic","Coldplay","285000","5","68","","325"
"Magnets (A-Trak Remix) (feat. Lorde)","Magnets (The Remixes)","Disclosure","260000","5","62","","108"
"Marry You (feat. Ne-Yo)","Marry You","Diamond Platnumz","246000","5","45","","146"
"Mayday!!!","Fight With Tools (Explicit Version)","Flobots","276000","5","105","","289"
"Me","The 1975","The 1975","275000","5","64","","6"
"Meant To Be","Yours - EP","SG Lewis","178000","5","109","","160"
"Mind Is A Prison","Mind Is A Prison","Alec Benjamin","162000","5","15","","43"
"Mine","COSMIC","Bazzi","131000","5","82","","125"
"Miracle","Love Is Dead","CHVRCHES","188000","5","41","","50"
"Missing Home","Missing Home","flora cash","219000","5","16","","34"
"Mon Amour (feat. Austen)","Mon Amour (feat. Austen)","Kuren","195000","5","67","","157"
"Money, Fame &amp; Fortune","Money, Fame &amp; Fortune","The Goo Goo Dolls","197000","5","67","","74"
"Monster","Monster","Gabbie Hanna","169000","5","53","","107"
"More Than A Miracle","Small Talk - EP","MNEK","245000","5","72","","248"
"Move Your Body (Single Mix)","Move Your Body (Single Mix)","Sia","252000","5","50","","92"
"Ms. Jackson","Ms. Jackson","Party Pupils","182000","5","99","","209"
"Naked","L O V E","kirstin","208000","5","66","","184"
"Neon Cathedral (feat. Allen Stone)","The Heist","Macklemore &amp; Ryan Lewis","274000","5","177","","195"
"Nicotine","Too Weird To Live, Too Rare To Die!","Panic! At The Disco","186000","5","55","","355"
"Night Time","xx","The xx","216000","5","36","","321"
"Night Train","Supply And Demand","Amos Lee","210000","5","32","","359"
"NIKES","BASED ON A TRUE STORY.","Jake Miller","214000","5","51","","61"
"No Chance","No Chance","Jarami","225000","5","49","","94"
"No Church In The Wild","Watch The Throne","JAY Z","272000","5","29","","14"
"No Pain (feat. Khalid, Charlie Wilson &amp; Charlotte Day Wilson)","No Pain","DJDS","200000","5","60","","90"
"NOBODY ELSE","BASED ON A TRUE STORY.","Jake Miller","176000","5","48","","63"
"Northern Lights","Love Lust Faith + Dreams","THIRTY SECONDS TO MARS","284183","5","119","","307"
"Not Coming Down","Altitude &amp; Oxygen","Cleopold","216000","5","76","","78"
"Not Forgotten (feat. Nick Littlemore)","Black Light","Groove Armada","333000","5","21","","18"
"not ur friend","love is not dying","Jeremy Zucker","174000","5","22","","17"
"Nothing Left To Say / Rocks","Night Visions (Deluxe)","Imagine Dragons","536000","5","57","","354"
"Nothing&#39;s Wrong","Talking Dreams","Echosmith","215000","5","50","","270"
"Numb (feat. Johnning)","Numb (feat. Johnning)","Prefekt","247000","5","63","","113"
"Ocean Drive","BlasÃ© Boys Club (Pt. 1)","Duke Dumont","206000","5","89","","105"
"Ocean King","Soft Lit - EP","Soft Lit","223000","5","72","","77"
"On Hold","I See You","The xx","224000","5","72","","163"
"On My Own (feat. Nevve)","On My Own","3LAU","228000","5","93","","153"
"On the Other Side","On the Other Side","Blanco White","297000","5","59","","75"
"Only Natural","Only Natural","Soft Lit","223000","5","77","","159"
"OTW (feat. 6LACK &amp; Ty Dolla $ign)","OTW","Khalid","263000","5","99","","138"
"Our Eyes","Work It Out (Deluxe)","Lucy Rose","192000","5","82","","162"
"Our House (feat. Eminem &amp; Skylar Grey)","welcome to: OUR HOUSE (Deluxe)","Slaughterhouse","358000","5","39","","275"
"Panacea For The Poison","Survival Story","Flobots","245000","5","87","","288"
"Panic Room","Panic Room","Au/Ra","214000","5","64","","134"
"Paper Heart","This Quiet Night","David Cook","202000","5","30","","313"
"Parachutes","Parachutes","Jordan Mackampa","223000","5","27","","54"
"Paralysis","Mind Over Matter","Young the Giant","275000","5","47","","349"
"Paranoid Circus (Orchestral Version)","Paranoid Circus","Lyriel","216000","5","31","","341"
"Party On My Own (feat. FAULHABER)","Party On My Own (feat. FAULHABER)","Vintage Culture","146000","5","32","","7"
"Phone Down (feat. Emily Warren)","Phone Down","Lost Kings","215000","5","157","","180"
"Preacher Man","Preacher Man","THE DRIVER ERA","219000","5","48","","58"
"Preview","Preview","Mackenzie Nicole","207000","5","76","","155"
"Prisoner to My Emotions","Prisoner to My Emotions","Trayci Jenkins and the Jenkenettes","196000","5","52","","127"
"Problems","Presence","Petit Biscuit, Lido","219000","5","85","","133"
"Problems","ASYLUM","A R I Z O N A","171000","5","61","","56"
"Product Of My Own Design","Someone In Control","Trapt","212000","5","84","","281"
"Rain","Notes From The Underground (Unabridged)","Hollywood Undead","221000","5","41","","276"
"Raindrops","Scars","Basement Jaxx","249000","5","12","","16"
"Rap God","Rap God","Eminem","363000","5","65","","294"
"Ready For Your Love","Sirens","Gorgon City","198000","5","76","","239"
"Reckless","Let the Night","Dirty Vegas","205000","5","220","","254"
"Recover (Cid Rim Remix)","Recover","CHVRCHES","347000","5","57","","83"
"Remember I Told You (feat. Anne-Marie &amp; Mike Posner)","Remember I Told You","Nick Jonas","201000","5","73","","110"
"Remember the Name (feat. Styles of Beyond)","The Rising Tied","Fort Minor","230000","5","43","","277"
"Re: Stacks","For Emma, Forever Ago","Bon Iver","401000","5","98","","286"
"Right Here","What I&#39;ve Become","Ashes Remain","171000","5","45","","264"
"Right Where You Should Be (feat. Ashe &amp; Louis Futon)","From Michigan With Love","Quinn XCII","207000","5","50","","67"
"RISE (feat. The Word Alive)","RISE","League of Legends","192000","5","60","","112"
"Rock the B.O.A.T.","Rock the B.O.A.T.","MarcLo","233000","5","90","","175"
"Rollin (feat. Future &amp; Khalid)","Rollin","Calvin Harris","272000","5","126","","194"
"Rollin (feat. Future &amp; Khalid)","Funk Wav Bounces Vol.1","Calvin Harris","272000","5","213","","172"
"Rule The World (Radio Edit)","Rule The World","Take That","237000","5","40","","135"
"Running To The Sea","Running To The Sea","RÃ¶yksopp","295000","5","156","","302"
"Rush","Rush","Ayelle, Nakala","231000","5","61","","103"
"Safe And Sound","In A Tidal Wave Of Mystery (Deluxe Edition)","Capital Cities","192000","5","75","","308"
"Salt","Language &amp; Perspective","Bad Suns","226000","5","357","","3"
"Say It (feat. Sara Skinner)","Say It","Crankdat","187000","5","56","","129"
"Say It to Me","Super","Pet Shop Boys","188000","5","114","","199"
"Say Say","Wake Up","Youngblood Hawke","291000","5","65","","269"
"Say So","Hot Pink","Doja Cat","237000","5","19","","37"
"Say You Do","Crawl Space","Tei Shi","233000","5","99","","171"
"See Through","Daphne Blue / See Through","The Band CAMINO","181000","5","56","","62"
"Self","Free Spirit","Khalid","230000","5","97","","89"
"Settle Down","The 1975","The 1975","239000","5","49","","356"
"Shake It Loose","Mind Out Wandering","Astronauts, etc.","186000","5","22","","40"
"shedontknowbutsheknows","BLUE LIPS (Lady Wood Phase II)","Tove Lo","196000","5","127","","165"
"Shiver","Like I Used To","Lucy Rose","233000","5","79","","218"
"Shooting Stars","Bag Raiders (Deluxe)","Bag Raiders","235000","5","41","","66"
"Should&#39;ve Known Better","Tri-Polar","Sick Puppies","232000","5","70","","259"
"Show My Ass (feat. Worm)","The Big Sal Story","Jelly Roll","204000","5","56","","76"
"Sign Language (feat. Wynter Gordon)","You Are Not Alone","Kinetics &amp; One Love","285333","5","66","","287"
"Silver Scrapes","Dubstep","Chronic Crew","116000","5","83","","169"
"Sing","x (Deluxe Edition)","Ed Sheeran","235000","5","30","","310"
"Single Ladies (Put a Ring on It)","I AM...SASHA FIERCE","BeyoncÃ©","193000","5","36","","345"
"Skinny Love","For Emma, Forever Ago","Bon Iver","238000","5","177","","342"
"Sky","Simple Times","Joshua Radin","204000","5","107","","322"
"Sleep Thru Ur Alarms","Surrender (2014 - 2017)","Lontalius","112000","5","20","","20"
"Slow (feat. Noah Cyrus) [R3HAB Remix]","Slow (feat. Noah Cyrus) [Remixes]","Matoma","160000","5","81","","149"
"Slow (feat. Rochelle Jordan)","Voices (EP)","Cyril Hahn","222000","5","66","","143"
"Slow It Down","Voicenotes","Charlie Puth","190000","5","61","","70"
"smiling when i die","smiling when i die","Sasha Sloan","206000","5","20","","27"
"So Close (feat. Georgia Ku)","So Close","NOTD","190000","5","55","","106"
"So This Is Goodbye","Derivatives","William Fitzsimmons","251000","5","112","","229"
"Somebody Else","I like it when you sleep, for you are so beautiful yet so unaware of it","The 1975","347000","5","66","","80"
"Something In My Heart","Running To The Sea","RÃ¶yksopp","329000","5","82","","283"
"Someway, Somehow","LAUNCH FLY LAND","DREAMERS","223000","5","21","","24"
"Split Stones","Split Stones","Maggie Rogers","231000","5","72","","120"
"St. Patrick","White Noise","PVRIS","260000","5","85","","238"
"Star Mile","We Were Here","Joshua Radin","242000","5","156","","295"
"Starting Over (feat. Ben Bridwell of Band of Horses)","The Heist","Macklemore &amp; Ryan Lewis","251000","5","148","","10"
"Stay With Me","In The Lonely Hour (Google Play Exclusive Deluxe Edition)","Sam Smith","172000","5","48","","309"
"still feel.","Now, Not Yet","halfÂ·alive","247000","5","20","","26"
"Stockholm Syndrome","FOUR (Deluxe)","One Direction","214000","5","57","","130"
"Stolen Moments","Blood Type","Cautious Clay","137000","5","105","","137"
"Storytime","Imaginaerum","Nightwish","322000","5","29","","353"
"Summertime Magic","Summer Pack","Childish Gambino","213000","5","44","","53"
"Sun In Our Eyes","Sun In Our Eyes","MÃ˜","217000","5","75","","123"
"Sunny Days (feat. Josh Cumbee)","Sunny Days","Armin van Buuren","210000","5","106","","173"
"Sunset Lover","Petit Biscuit","Petit Biscuit","237000","5","90","","177"
"Super Far","LANY","LANY","203000","5","86","","121"
"Supercut","Melodrama","Lorde","277000","5","84","","186"
"Swimming Pool Summer (THCSRS Remix)","Swimming Pool Summer","Capital Cities","238000","5","92","","190"
"Tailwhip (Miki Bangs Remix)","Tailwhip (Miki Bangs Remix)","Men I Trust","193000","5","146","","174"
"Take My Chances","Take My Chances","Copper","199000","5","176","","323"
"Team","For Emma, Forever Ago","Bon Iver","116000","5","89","","340"
"Teeth","Melophobia","Cage The Elephant","327000","5","50","","352"
"Tell Me","Tell Me","R.Lum.R","195000","5","100","","81"
"The City","+","Ed Sheeran","234000","5","44","","333"
"The Diary of Jane","Phobia","Breaking Benjamin","200000","5","124","","296"
"The Feeling (feat. Halsey)","Purpose (Deluxe)","Justin Bieber","244000","5","48","","141"
"The Mack (feat. Mark Morrison &amp; Fetty Wap)","The Mack","Nevada","167000","5","108","","210"
"The Middle","The Middle","Zedd","184000","5","59","","124"
"The One I Love","Three Flights From Alto Nido","Greg Laswell","155000","5","28","","357"
"The Phoenix","Save Rock And Roll","Fall Out Boy","244974","5","140","","303"
"The Return","YSIV","Logic","252000","5","46","","95"
"The Riddle","Playlist: The Very Best Of Five For Fighting","Five for Fighting","226000","5","70","","280"
"The Vision (feat. Born I Music)","The Vision (feat. Born I Music)","Skan","291000","5","70","","111"
"These Are The Lies","Lock Me Up","The Cab","226000","5","56","","265"
"Think Again","Think Again","The Young Professionals","199000","5","87","","214"
"Think of You","Secondhand Rapture","MS MR","203000","5","71","","260"
"This Is How It Feels","Hook Me Up","The Veronicas","251000","5","49","","98"
"This Is War","This Is War","30 Seconds To Mars","327000","5","143","","319"
"Time to Say Goodbye (ARUNA vs Rameses B Remix)","Time to Say Goodbye (ARUNA vs Rameses B Remix)","Mr FijiWiji, Direct &amp; ARUNA","326000","5","64","","114"
"To Be Alive (feat. Aaron Richards)","Monstercat 029 - Havoc","Puppet","273000","5","46","","115"
"To The Beat Of Our Noisy Hearts","Some Mad Hope","Matt Nathanson","181000","5","31","","364"
"Tonight You&#39;re Perfect","A Bad Girl In Harlem","New Politics","202000","5","40","","318"
"Tragedy","Tragedy","Always Never","216000","5","83","","101"
"Trainwreck","The Altar","BANKS","204000","5","82","","213"
"Tremors","Tremors","SOHN","209000","5","438","","225"
"Tripolar","How Does It Feel","MS MR","220000","5","32","","46"
"Trouble On Central","Trouble On Central","Buddy","186000","5","44","","136"
"Trouble","Trouble","OFFAIAH","173000","5","106","","203"
"Two Weeks","Veckatimest","Grizzly Bear","243000","5","72","","145"
"Up In The Air","Love Lust Faith + Dreams","THIRTY SECONDS TO MARS","275798","5","190","","284"
"Viva La Vida","Viva La Vida or Death and All His Friends","Coldplay","242000","5","105","","236"
"Waiting","Someone In Control","Trapt","230000","5","154","","282"
"Wake Me Up (Acoustic)","Lift Your Spirit","Aloe Blacc","225000","5","70","","258"
"Waking up Slow (Piano Version)","Waking up Slow (Piano Version)","Gabrielle Aplin","221000","5","77","","178"
"Wash Away","Hypnotic","Wilkinson","202000","5","106","","188"
"waste","waste","lovelytheband","255000","5","36","","33"
"Waves (Robin Schulz Radio Edit)","Waves","Mr. Probz","208000","5","781","","179"
"We Can Glow","Glow","Royal Teeth","227000","5","58","","267"
"We Won&#39;t Go Home","The Colourist","The Colourist","192000","5","63","","268"
"Welcome To The Show","The Lost Get Found","Britt Nicole","202000","5","154","","249"
"What Do You Mean?","Purpose (Deluxe)","Justin Bieber","205000","5","61","","230"
"What The Funk (feat. Danny Shah)","What The Funk","Oliver Heldens","177000","5","60","","154"
